suite,role,endpoint_or_route,state,input_class,assertion_type,status,test_id,notes
profile,anon,GET /api/trainer/profile/stats,active,no-auth,http-401,pending,PROF-005,Anon blocked from profile stats
profile,trainer,PATCH /api/profile,active,fullName-field-nonexistent,http-422-or-ignored,pending,PROF-006,fullName field does not exist on UserProfile — buglog regression
funnel,anon,GET /get-started,does-not-exist,no-auth,http-200+page-renders,pending,FUN-001,Main landing renders without auth (no 401 bleed)
funnel,anon,GET /starter,does-not-exist,no-auth,http-200+page-renders,pending,FUN-002,Starter sales page renders without auth
funnel,anon,GET /professional,does-not-exist,no-auth,http-200+page-renders,pending,FUN-003,Professional sales page renders without auth
funnel,anon,GET /enterprise,does-not-exist,no-auth,http-200+page-renders,pending,FUN-004,Enterprise sales page renders without auth
funnel,anon,GET /free-blueprint,does-not-exist,no-auth,http-200+page-renders,pending,FUN-005,Lead magnet page renders without auth
funnel,anon,POST /api/funnel/capture,does-not-exist,valid-email,http-200+email-queued,pending,FUN-006,Lead magnet email capture + Resend side-effect
funnel,anon,GET /special-offer,does-not-exist,no-auth,http-200+page-renders,pending,FUN-007,Tripwire offer page renders without auth
funnel,anon,POST /api/funnel/checkout,does-not-exist,valid-stripe-token+starter,http-200+checkout-session,pending,FUN-008,Funnel checkout creates Stripe session
funnel,anon,POST /api/funnel/checkout,does-not-exist,missing-tier,http-422,pending,FUN-009,Checkout without tier param rejected
funnel,anon,GET /pricing,does-not-exist,no-auth,http-200+shows-canonical-prices,pending,FUN-010,Pricing shows $199/$299/$399 canonical (no monthly legacy)
account-deletion,customer,DELETE /api/auth/account,active,own-account+password-confirm,http-200,pending,DEL-001,Customer deletes own account
account-deletion,trainer,DELETE /api/auth/account,active,own-account+password-confirm,http-200,pending,DEL-002,Trainer deletes own account
account-deletion,customer,DELETE /api/auth/account,active,wrong-password-confirm,http-403,pending,DEL-003,Wrong password confirmation rejected
account-deletion,attacker,DELETE /api/auth/account,active,other-user-id,http-403,pending,DEL-004,IDOR: delete other user's account blocked
account-deletion,customer,DELETE /api/auth/account,active,own-account,db-cascade-assert,pending,DEL-005,Account delete cascades all user rows
account-deletion,customer,DELETE /api/auth/account,active,own-account,s3-orphan-sweep-zero,pending,DEL-006,Account delete removes S3 files (no orphans — buglog regression)
bmad,admin,POST /api/admin/generate,does-not-exist,batch-size-1,http-200+sse-stream,pending,BMAD-001,Single recipe BMAD full agent chain
bmad,admin,GET /api/admin/generate/progress/:batchId,unapproved,valid-batchId,sse-events-ordered,pending,BMAD-002,SSE stream events in correct agent order
bmad,admin,POST /api/admin/generate/stop/:batchId,unapproved,mid-generation,http-200+partial-recipes-saved,pending,BMAD-003,Stop mid-batch — partial recipes preserved
bmad,admin,POST /api/admin/generate,unapproved,agent-failure-mid-chain,http-200+partial-batch+error-event,pending,BMAD-004,Agent failure mid-chain — error SSE event fires
bmad,admin,POST /api/admin/generate,unapproved,concurrent-two-batches,http-200+both-batches-independent,pending,BMAD-005,Two concurrent batches do not interfere
bmad,admin,POST /api/admin/generate,unapproved,batch-size-500,http-200+90s-per-recipe-budget,pending,BMAD-006,Large batch respects 90s/recipe timeout budget (buglog regression)
bmad,trainer,POST /api/admin/generate,unapproved,trainer-jwt,http-403,pending,BMAD-007,Trainer cannot trigger BMAD generation
idempotency,trainer,POST /api/trainer/meal-plans,saved,double-submit-500ms,http-201+single-plan-only,pending,IDEM-001,Double-submit creates only one plan
idempotency,customer,POST /api/grocery-lists/generate-from-meal-plan,assigned,double-submit-500ms,http-201-or-409+single-list,pending,IDEM-002,Double-generate grocery list idempotent
idempotency,anon,POST /api/auth/register,does-not-exist,double-submit-same-email,http-409-second,pending,IDEM-003,Double registration for same email
idempotency,stripe,POST /api/subscription/webhook,active,same-event-id-twice,http-200+no-double-apply,pending,IDEM-004,Stripe duplicate webhook idempotent
pagination,admin,GET /api/admin/recipes,approved-starter,page-1,http-200+first-page,pending,PAG-001,First page of recipe list
pagination,admin,GET /api/admin/recipes,approved-starter,page-2,http-200+second-page,pending,PAG-002,Second page — correct offset
pagination,admin,GET /api/admin/recipes,approved-starter,page-beyond-total,http-200+empty-array,pending,PAG-003,Page beyond last — empty array not 404
pagination,trainer,GET /api/recipes,does-not-exist,empty-library,http-200+empty-array,pending,PAG-004,Empty recipe library returns empty array
pagination,customer,GET /api/meal-plans,does-not-exist,no-assignments,http-200+empty-array,pending,PAG-005,Customer with no plans returns empty array
pagination,admin,GET /api/admin/recipes,approved-starter,page-not-offset,http-200,pending,PAG-006,Admin API uses page param not offset (buglog regression)
concurrency,trainer,POST /api/trainer/meal-plans/:id/assign,saved,two-trainers-same-customer-same-time,http-200-or-409,pending,CON-001,Race: two trainers assign same plan to same customer
concurrency,admin,POST /api/admin/recipes/:id/approve,unapproved,approve-while-trainer-reads,http-200+consistent-read,pending,CON-002,Race: approve while trainer reads recipe list
concurrency,admin,POST /api/admin/grant-tier,trialing,grant-while-stripe-webhook,http-200+final-consistent-tier,pending,CON-003,Race: admin grant-tier vs Stripe webhook simultaneous
concurrency,hal,PATCH /api/bug-reports/:id,open,two-hal-instances-claim-same,http-409-or-200-only-one,pending,CON-004,Race: two Hal instances claim same bug — only one wins
concurrency,customer,POST /api/grocery-lists/generate-from-meal-plan,assigned,two-concurrent-same-plan,http-201+single-list,pending,CON-005,Race: concurrent grocery list generation same plan
routes,anon,GET /admin,active,no-auth,redirect-to-login,pending,RT-001,/admin redirects anon to login
routes,customer,GET /admin,active,customer-jwt,http-403-or-redirect,pending,RT-002,/admin blocks customer role
routes,trainer,GET /admin,active,trainer-jwt,http-403-or-redirect,pending,RT-003,/admin blocks trainer role
routes,admin,GET /admin,active,admin-jwt,http-200,pending,RT-004,/admin loads for admin
routes,anon,GET /trainer,active,no-auth,redirect-to-login,pending,RT-005,/trainer redirects anon
routes,customer,GET /trainer,active,customer-jwt,http-403-or-redirect,pending,RT-006,/trainer blocks customer
routes,anon,GET /customer,active,no-auth,redirect-to-login,pending,RT-007,/customer redirects anon
routes,trainer,GET /customer,active,trainer-jwt,http-403-or-redirect,pending,RT-008,/customer blocks trainer
routes,anon,GET /shared/:token,shared,valid-token,http-200+plan,pending,RT-009,/shared/:token accessible without auth (public)
routes,anon,GET /get-started,does-not-exist,no-auth,http-200,pending,RT-010,Public funnel routes accessible without auth
routes,anon,GET /pricing,does-not-exist,no-auth,http-200,pending,RT-011,/pricing accessible without auth
regression,trainer,GET /api/pdf/:planId,assigned,valid-plan,no-spa-trap,pending,REG-001,PDF SPA trap regression (buglog: never page.goto for SPA HTML→PDF)
regression,admin,POST /api/admin/generate,unapproved,batch-size-100,90s-per-recipe-budget,pending,REG-002,Batch executor timeout regression (buglog: 90s/recipe budget)
regression,admin,GET /api/admin/recipes,approved-starter,page-2,uses-page-not-offset,pending,REG-003,Pagination regression — admin API uses page not offset
regression,customer,DELETE /api/auth/account,active,own-account,s3-no-orphans,pending,REG-004,Image orphan prevention regression (deployed 2026-03-27)
regression,trainer,PATCH /api/profile,active,fullName-absent,http-200-or-422,pending,REG-005,Profile fullName field absent regression (buglog: no fullName on UserProfile)
regression,stripe,POST /api/subscription/webhook,active,duplicate-event,idempotent-no-double-apply,pending,REG-006,Stripe duplicate webhook regression
regression,admin,POST /api/admin/generate,unapproved,batch-size-50,no-duplicate-rows,pending,REG-007,Migration 0022 duplicate row regression
